,DeltaR_lab23,DeltaR_lab45,Label,lab0_ENDVERTEX_CHI2,lab0_IPCHI2_OWNPV,lab0_RFD,lab0_ptasy_1.50,lab10_IPCHI2_OWNPV,lab2_FDCHI2_OWNPV,lab2_IPCHI2_OWNPV,lab2_PT,lab4_ENDVERTEX_CHI2,lab4_RFD,lab5_PT,lab8_PT,lab9_IPCHI2_OWNPV
8492,1.6533513,0.64156944,b,0.9618738293647766,16.007687277718578,0.9389707,-0.244488388299942,131.79755003258185,859.6908539781786,1.2801622998837834,1240.5913372259215,24.782100677490234,0.97418165,421.1342116238005,406.9624111634882,148.75223702850974
96,2.2279341,0.332075,b,4.7958269119262695,13.944221336784125,0.63959163,-0.3745408952236176,4.615453733485037,14.298193852996507,0.22907520056195904,288.9596373198167,1.7078174352645874,2.5107532000000004,329.3191391340625,2690.7908870070155,7.704112406892286
680,2.8192234,0.49950713,b,2.3710079193115234,19.80326299849992,0.32603833,-0.386808305978775,560.8665466527328,14699.82376645193,1.4438581871773477,1094.2425222956745,7.2168517112731925,0.42970020000000003,455.9373844071135,730.9650129110147,439.5054407728085
8848,2.0162683,0.6702893,b,11.221996307373047,3.2658079922052026,1.8766332,-0.4004533290863037,23.337154791727762,90.06968465580074,0.056553992457070025,1475.5217445026017,0.5455068349838257,1.8921063999999999,447.01510231758385,479.3747816687898,18.47777438001997
6618,2.875873,0.47968316,b,1.9278243780136108,15.222369225719442,0.19782805,-0.6382944583892822,16.08569704133193,39.86637668666438,1.595252061829017,902.4496930023304,3.773210048675537,0.14818235,385.769049302818,804.2902829824567,15.555736872852435
28,0.18101528,5.7845016,s,5.742261019096168,0.15064869999553132,1.0287422,0.6294024451910113,52.871820734617344,109.6510597110335,3.535235106697068,2683.1366602655867,4.354042118654765,1.1510133,177.74863925531574,2512.279614029542,27.561311869675713
4303,2.8869655,0.787271,b,2.6264121532440186,24.19780854800496,0.6304784999999999,-0.4655917882919312,7.947973715637375,57.00442658154252,0.6361805694579756,602.0245377889511,9.578036308288574,0.68426216,285.30535238582536,867.5191340829318,14.020268392822715
418,1.141941,0.27322704,s,14.610081604858047,22.010173778461365,0.18466528,0.033822345798685434,1085.7348333076764,35416.5348046898,6.7857956237591255,2658.3071409980626,10.953154919405362,0.09271201,392.81889044423104,344.9168626350053,1251.4204042563192
10089,2.0033414,0.48416632,b,10.974729537963867,3.79534189372636,1.1846714,-0.5000705718994141,397.94774450757217,3569.139212143583,2.0338109471439383,1363.0768032653184,2.395620584487915,1.6546317,479.1510543659484,993.8943107795717,533.6414904124939
499,0.94925964,0.14407372,s,7.349988247273325,5.4110569266312165,0.68779814,0.7137945437953492,165.8464604772394,1627.9392602560665,10.443015247751893,1809.6482751660974,4.118641218895189,1.0402693,1046.9990113437882,1244.6101762482508,177.8487838161777
10356,0.9079415000000001,0.5635468000000001,b,11.093358039855957,13.629130594336491,1.3391571000000002,-0.19917628169059756,153.59976450238182,723.7448675752701,7.4422027042552275,1371.9710421506716,2.668416976928711,2.0700314,287.6523153044314,4197.630839533176,126.03946566363814
8720,4.6956815999999995,0.76003295,b,0.5320014357566833,11.209618309889779,0.6038760999999999,-0.1322767287492752,9.117338049446117,50.55368800670085,0.38922415895695583,1269.0386301842825,7.804159641265869,0.5957781999999999,198.17753303540744,992.2669996024257,22.45665161149428
4625,1.1573025,0.6642728,b,4.309361457824707,22.13175027851868,1.1929375,-0.6163252592086792,42.57850423170463,73.43229520910009,2.9035197098110563,1815.6481402793881,7.0194621086120605,0.8899253,251.93558740281213,319.6386442531628,14.318413040984053
8878,0.65383464,0.48477715,b,3.031226634979248,1.145838596115097,0.9839558,-0.12394806742668152,239.7175942648677,1607.4138119402326,0.34101011533448183,369.6147352311593,13.354915618896484,0.75097895,232.6764889282972,546.5366857769019,253.99776378898738
494,1.1930027,0.69084847,b,11.097325325012207,6.473074105896549,0.518387,-0.039822377264499664,71.7954027896932,1057.2886494094369,1.6063439198863465,1156.7945394494218,29.365894317626953,0.73788744,327.40191813732554,1967.4997500889292,205.9677377843293
1940,1.1593444,0.41610852,b,0.7132107615470886,0.3726233407501758,0.50973326,0.6281517148017883,31.711247335603485,204.226861946676,0.2720073525703016,1009.8795985660864,1.9311610460281368,0.51876533,422.99753722687325,3297.0051769750066,71.67039575386491
